Crops,FY 2074/75,,,FY 2075/76,,,FY 2076/77,,,FY 2077/78,,,FY 2078/79,,
,Total seed require-,Total seed supply in,Seed Replacement,Total seed require-,Total seed supply in,Seed Replacement,Total seed require-,Total seed supply in,Seed Replacement,Total seed require-,Total seed supply in,Seed Replacement,Total seed require-,Total seed supply in,Seed Replacement
Paddy,73477,13533,18.42,70252,16453,23.42,70885,16998,23.98,67252,17749,26.39,69263,19304,27.87
Maize,23854,3683,15.44,23911,3721,15.56,23911,3303,13.81,23941,3210,13.41,24639,3407,13.83
Wheat,84821,12910,15.22,84479,16068,19.02,84479,17039,20.17,84479,17522,20.74,86037,18925,22
Cereals,182152,30126,16.54,178642,36242,20.92,179275,37340,20.83,175672,38481,21.9,179939,41636,23.14
Lentil,7906,388,4.91,8351,449,5.38,8351,345,4.13,8515,455,5.34,7938,449,5.66
Mustard,2246,274,12.19,2603,344,13.22,2603,337,12.95,2581,330,12.79,2606,339,13.01
