date,avg
2015-10-31,31.00
2015-11-01,35.00
2015-11-02,32.00
2015-11-03,25.00
2015-11-04,25.00
2015-11-05,25.00
2015-11-06,28.00
2015-11-07,27.00
2015-11-08,28.00
2015-11-09,28.00
2015-11-10,28.00
2015-11-11,25.00
2015-11-12,25.00
2015-11-13,28.00
2015-11-14,31.00
2015-11-15,28.00
2015-11-16,28.00
2015-11-17,25.00
2015-11-18,25.00
2015-11-19,22.00
2015-11-20,22.00
2015-11-21,24.00
2015-11-22,25.00
2015-11-23,22.00
2015-11-24,22.00
2015-11-25,22.00
2015-11-26,22.00
2015-11-27,21.00
2015-11-28,28.00
2015-11-29,21.00
2015-11-30,21.00
2015-12-01,21.00
2015-12-02,21.00
2015-12-03,18.00
2015-12-04,19.00
2015-12-05,20.00
2015-12-06,18.00
2015-12-07,18.00
2015-12-08,18.00
2015-12-09,18.00
2015-12-10,18.00
2015-12-11,18.00
2015-12-12,20.00
2015-12-13,18.00
2015-12-14,22.00
2015-12-15,22.00
2015-12-16,22.00
2015-12-17,22.00
2015-12-18,22.00
2015-12-19,21.00
2015-12-20,22.00
2015-12-21,19.00
2015-12-22,19.00
2015-12-23,22.00
2015-12-24,22.00
2015-12-25,22.00
2015-12-26,23.00
2015-12-27,22.00
2015-12-28,22.00
2015-12-29,23.00
2015-12-30,21.00
2015-12-31,28.00
2016-01-01,28.00
2016-01-02,24.00
2016-01-03,22.00
2016-01-04,22.00
2016-01-05,22.00
2016-01-06,22.00
2016-01-07,22.00
2016-01-08,22.00
2016-01-09,23.00
2016-01-10,22.00
2016-01-11,22.00
2016-01-12,19.00
2016-01-13,22.00
2016-01-14,22.00
2016-01-15,22.00
2016-01-16,22.00
2016-01-17,22.00
2016-01-18,22.00
2016-01-19,22.00
2016-01-20,22.00
2016-01-21,22.00
2016-01-22,22.00
2016-01-23,21.00
2016-01-24,18.00
2016-01-25,18.00
2016-01-26,19.00
2016-01-27,19.00
2016-01-28,18.00
2016-01-29,19.00
2016-01-30,22.00
2016-01-31,19.00
2016-02-01,18.00
2016-02-02,18.00
2016-02-03,18.00
2016-02-04,18.00
2016-02-05,18.00
2016-02-06,18.00
2016-02-07,18.00
2016-02-08,18.00
2016-02-09,16.00
2016-02-10,18.00
2016-02-11,19.00
2016-02-12,20.00
2016-02-13,19.00
2016-02-14,22.00
2016-02-15,20.00
2016-02-16,19.00
2016-02-17,18.00
2016-02-18,18.00
2016-02-19,18.00
2016-02-20,18.00
2016-02-21,18.00
2016-02-22,18.00
2016-02-23,18.00
2016-02-24,18.00
