Fresh Vegetables by Province: Fiscal Year 2078/79 (2021/22)
Province,Area (Ha.),Production(Mt.),Yield (Mt./Ha),
KOSHI,"51152","814689","15.93"
MADHESH,"83658","1216333","14.54"
BAGMATI,"52884","761992","14.41"
GANDAKI,"23233","296084","12.74"
LUMBINI,"44277","597037","13.48"
KARNALI,"13450","155006","11.52"
SUDURPSCHHIM,"21184","312017","14.73"
TOTAL,"289839","4153157","14.33"
